id,flowerName,scientificName,family,genus,bloomMonths,birthMonth,birthDay,seasons,origin,sourceUrl,retrievedDate,citationMemo
85,カラー,,,,,4,28,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
86,アイリス,,,,,4,1,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
87,ジャスミン,,,,,7,2,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
88,クチナシ,,,,,7,3,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
89,ライラック,,,,,4,4,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
90,スターチス,,,,,7,5,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
91,アガパンサス,,,,,7,6,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
92,ロベリア,,,,,4,7,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
93,ネリネ,,,,,10,8,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
94,サフラン,,,,,10,9,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
95,アマリリス,,,,,1,10,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
96,グロリオサ,,,,,7,11,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
97,カモミール,,,,,4,12,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
98,ツユクサ,,,,,7,13,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
99,ホオズキ,,,,,7,14,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
100,オダマキ,,,,,4,15,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
101,デルフィニウム,,,,,4,16,,,https://www.flower-db.com/ja,2026-04-14,暫定代表日（季節ベース）
